	feature_list	Value of Off By
0	('sex', 'driverdrowsy')	0.0
1	('sex', 'age', 'driverdrowsy')	0.590668534649
2	('sex', 'age', 'prevacc', 'police_Related_drug_involvement', 'alcinvol', 'dridistract')	3433.82156186
3	('sex', 'driverdrowsy', 'police_Related_drug_involvement')	0.515262741186
4	('age', 'driverdrowsy', 'prevacc', 'police_Related_drug_involvement')	105.826406372
5	('sex', 'alcinvol', 'dridistract')	6.10127428266
6	('sex', 'age', 'police_Related_drug_involvement', 'alcinvol')	1433.65192193
7	('sex', 'age', 'driverdrowsy', 'prevacc', 'police_Related_drug_involvement', 'dridistract')	272.164936027
8	('prevacc', 'dridistract')	4.87336673263
9	('sex', 'driverdrowsy', 'prevacc', 'police_Related_drug_involvement', 'alcinvol', 'dridistract')	2362.24772901
10	('sex', 'age', 'driverdrowsy', 'police_Related_drug_involvement', 'alcinvol')	1433.65192193
11	('age', 'prevacc', 'police_Related_drug_involvement', 'dridistract')	169.016774861
12	('sex', 'age', 'driverdrowsy', 'police_Related_drug_involvement', 'dridistract')	28.7723401667
13	('police_Related_drug_involvement', 'alcinvol', 'dridistract')	555.829541882
14	('sex', 'age', 'driverdrowsy', 'police_Related_drug_involvement', 'alcinvol', 'dridistract')	2329.47386033
15	('sex', 'police_Related_drug_involvement')	0.515262741186
16	('age', 'driverdrowsy', 'prevacc', 'police_Related_drug_involvement', 'alcinvol', 'dridistract')	2607.589206
17	('sex', 'age', 'prevacc', 'police_Related_drug_involvement', 'alcinvol')	2580.32313066
18	('sex', 'police_Related_drug_involvement', 'dridistract')	3.28374063239
19	('age', 'prevacc', 'police_Related_drug_involvement')	105.826406372
20	('prevacc', 'alcinvol')	10.6221403806
21	('prevacc', 'police_Related_drug_involvement', 'dridistract')	30.4384975257
22	('sex', 'age')	0.590668534649
23	('sex', 'police_Related_drug_involvement', 'alcinvol')	476.886710895
24	('age', 'driverdrowsy', 'prevacc', 'alcinvol')	103.17631285
25	('sex', 'age', 'driverdrowsy', 'prevacc', 'alcinvol', 'dridistract')	320.828708049
26	('sex', 'driverdrowsy', 'prevacc', 'alcinvol')	29.3527347464
27	('sex', 'age', 'police_Related_drug_involvement', 'alcinvol', 'dridistract')	2329.47386033
28	('age', 'driverdrowsy', 'alcinvol')	5.66657253494
29	('sex', 'driverdrowsy', 'prevacc')	3.08864458364
30	('driverdrowsy', 'police_Related_drug_involvement', 'dridistract')	1.42829090967
31	('sex', 'age', 'prevacc')	32.0790728778
32	('driverdrowsy', 'prevacc', 'alcinvol', 'dridistract')	32.1687132053
33	('sex', 'driverdrowsy', 'police_Related_drug_involvement', 'alcinvol', 'dridistract')	901.196284647
34	('age', 'dridistract')	0.515696950741
35	('sex', 'prevacc', 'police_Related_drug_involvement', 'alcinvol', 'dridistract')	2362.24772901
36	('sex', 'age', 'driverdrowsy', 'prevacc', 'police_Related_drug_involvement', 'alcinvol')	2580.32313066
